X,Y
106,153
100,145
103,156
107,150
94,147
110,155
97,150
98,145
99,146
102,145
100,155
111,150
94,155
102,153
100,151
110,151
97,150
104,149
103,150
104,153
98,151
104,151
96,147
101,148
102,147
103,148
96,153
105,148
99,154
103,152
105,154
102,143
105,152
101,144
96,143
100,151
107,152
102,143
103,160
109,150
108,151
108,143
111,150
105,150
105,146
101,156
101,156
108,151
102,147
103,148
96,149
102,143
104,145
111,148
103,144
104,151
100,149
107,152
99,150
100,147
97,156
102,149
100,151
100,145
97,146
114,151
101,150
94,149
99,146
109,152
102,151
110,153
108,153
104,149
105,154
108,155
102,153
105,146
103,152
99,156
108,151
108,147
106,149
112,151
101,148
100,157
105,152
100,147
112,145
111,152
105,150
109,148
100,147
107,152
107,154
99,150
103,150
103,146
99,156
105,150
100,155
98,151
98,145
101,154
104,147
108,151
110,149
100,143
100,149
103,146
109,146
108,149
115,146
103,154
106,147
101,142
99,150
100,151
102,143
98,153
107,150
105,152
101,148
107,154
102,151
99,146
103,144
107,146
104,145
100,149
94,149
97,156
98,151
98,145
103,144
106,151
109,150
94,143
100,147
99,146
103,146
106,149
97,148
95,156
106,149
101,146
105,146
105,152
107,150
111,146
111,146
101,150
99,150
107,152
108,145
103,148
106,149
98,153
103,152
105,152
112,153
94,147
99,150
104,155
102,151
98,147
107,150
107,152
100,143
112,151
101,142
93,146
102,155
97,148
113,146
99,146
100,143
109,150
96,157
91,160
101,146
98,149
102,153
108,151
105,152
105,152
99,154
99,148
109,150
108,143
102,143
102,149
103,150
104,151
106,149
96,155
103,150
95,154
98,147
103,148
98,149
109,150
100,159
107,152
108,149
111,152
104,155
106,153
110,151
101,154
111,148
107,148
102,141
107,152
100,155
107,156
104,153
100,151
110,155
102,143
105,148
102,151
96,149
107,148
102,155
97,148
98,157
104,151
108,143
98,145
105,154
99,152
106,145
101,154
101,150
109,152
104,149
104,151
101,152
96,149
97,150
104,149
103,146
103,162
108,149
101,148
105,146
102,153
101,150
107,152
99,146
93,148
93,150
108,147
105,150
101,154
101,150
106,141
102,155
102,151
98,149
105,148
109,146
103,152
106,145
102,145
99,148
99,146
104,153
99,146
95,160
110,145
106,147
98,153
98,155
107,154
108,153
91,140
111,158
104,151
90,151
101,142
100,141
104,145
109,152
108,149
104,151
111,148
93,154
94,149
104,153
97,150
108,155
110,153
101,150
106,151
93,146
104,151
103,146
105,150
107,146
101,146
112,151
106,155
104,147
97,148
96,149
102,153
103,152
102,149
105,152
102,151
103,144
110,145
100,147
105,148
98,157
101,146
107,146
101,152
104,149
92,159
100,151
107,148
105,144
101,152
102,153
95,156
97,160
96,149
106,147
103,148
103,148
93,160
108,149
103,144
98,149
102,139
101,154
110,151
101,144
105,152
108,147
103,148
102,147
101,148
105,154
110,145
109,152
108,147
97,156
111,144
105,148
109,150
105,156
100,149
101,146
108,149
97,152
102,153
104,149
102,145
107,146
99,156
100,149
102,151
112,151
101,142
103,146
101,148
105,152
103,148
106,149
100,149
102,159
92,145
104,147
100,153
98,155
94,149
97,154
103,154
86,151
94,159
103,146
103,144
107,148
110,147
98,155
99,154
106,151
107,152
101,152
110,147
101,150
95,138
98,147
104,151
104,143
104,147
103,154
109,148
108,151
104,151
100,147
106,149
95,148
91,152
97,146
104,151
104,153
109,150
104,145
109,148
114,155
102,151
110,151
104,153
107,158
105,150
103,152
105,148
112,151
106,153
99,150
98,157
109,152
111,150
110,149
101,144
94,153
104,151
103,142
107,154
93,152
105,152
100,151
107,150
99,156
96,157
103,150
91,152
111,154
98,137
112,145
103,142
100,153
105,148
102,151
106,147
107,154
111,150
95,146
95,148
99,152
98,151
113,154
106,145
109,150
99,148
96,155
105,152
104,147
104,153
106,147
111,150
107,154
103,148
104,151
103,148
96,145
108,151
105,148
106,149
105,152
101,154
105,146
93,154
103,158
101,148
102,147
93,150
104,149
111,148
106,149
109,148
104,147
98,143
107,140
97,154
92,153
97,140
104,153
97,150
109,154
106,147
100,155
105,156
107,152
108,157
106,151
104,155
101,148
105,154
103,152
90,155
101,150
106,149
101,152
107,152
105,160
102,153
104,145
102,153
103,148
100,149
105,156
108,147
107,148
97,154
103,152
99,156
106,155
103,154
94,149
99,152
99,146
104,149
100,153
101,146
97,152
101,156
104,149
98,153
105,154
105,148
97,156
107,152
102,151
108,153
97,148
100,141
104,157
99,144
100,145
96,157
104,141
106,147
101,146
107,148
101,150
105,150
101,152
107,154
108,147
101,152
103,152
99,156
107,144
102,149
105,150
103,150
101,156
96,147
100,149
110,157
107,148
107,148
113,146
106,153
98,149
98,145
103,142
107,152
96,155
97,150
106,151
101,152
96,145
99,150
100,151
94,151
109,152
99,158
101,150
101,150
95,154
103,152
104,153
103,148
102,149
105,152
98,155
104,147
101,156
103,150
98,143
102,155
106,155
101,142
106,149
108,141
97,150
94,147
102,157
102,153
102,153
105,156
101,156
105,148
94,145
101,158
104,147
109,154
103,152
98,157
102,155
98,145
103,148
99,150
112,149
108,153
101,162
105,152
101,146
106,155
108,155
103,150
112,149
108,151
100,161
102,151
107,144
114,151
95,154
96,155
111,152
96,153
106,147
102,151
109,142
101,150
104,153
97,150
101,148
106,151
112,157
97,152
114,149
103,148
107,146
107,152
105,152
101,150
102,149
102,149
104,151
105,146
100,153
102,147
103,154
102,155
100,145
109,154
107,154
98,151
99,152
104,153
101,146
101,146
101,144
112,147
107,152
104,153
107,146
95,150
99,152
102,151
96,149
106,155
104,151
95,148
90,149
94,145
100,147
108,145
100,141
98,151
112,149
93,148
98,137
104,153
111,148
98,157
102,157
99,148
108,153
102,151
97,154
107,152
105,158
91,146
95,146
99,156
97,150
107,148
91,160
106,145
105,148
96,149
99,150
103,156
106,145
104,155
98,155
107,146
99,152
104,151
112,145
101,152
103,148
103,146
95,152
105,144
97,152
106,151
108,149
99,148
98,151
107,154
105,146
112,153
99,154
103,146
105,152
104,149
101,150
106,151
92,145
102,151
96,153
100,153
104,153
109,154
103,154
101,146
104,153
103,152
101,150
98,151
105,146
101,146
105,148
102,149
103,150
97,148
100,151
101,154
104,145
108,151
105,152
107,150
106,149
93,146
102,151
102,147
94,149
98,151
98,149
101,146
92,153
100,151
102,141
105,154
102,151
96,151
98,143
109,146
102,147
103,152
98,151
100,151
102,147
102,147
99,144
98,151
105,142
102,151
102,151
101,146
102,145
107,152
109,146
104,149
97,146
109,148
105,154
110,149
101,150
98,145
101,158
103,146
115,152
94,155
95,150
101,148
101,142
107,150
100,145
94,151
96,141
110,155
94,153
108,151
105,146
105,144
102,149
104,149
94,145
106,151
105,152
93,154
97,156
102,147
103,152
110,151
105,152
105,152
107,164
98,151
102,151
99,154
98,149
97,146
101,146
110,151
102,149
104,145
107,142
107,150
102,151
104,155
97,154
99,148
95,160
94,149
105,152
106,147
107,148
110,155
102,157
103,150
95,152
96,151
98,151
98,157
101,152
100,147
113,154
104,143
105,142
111,148
95,146
99,150
107,154
98,149
107,152
110,149
97,152
101,152
110,155
105,142
112,151
107,152
83,160
99,152
111,150
99,156
111,146
99,156
105,152
100,147
100,157
109,154
98,147
98,157
105,150
100,155
100,149
95,154
96,147
108,149
106,145
101,148
106,145
99,156
100,151
106,145
105,144
100,149
98,155
109,148
103,146
99,152
104,157
113,152
111,152
111,148
104,151
101,148
100,145
101,152
101,150
101,152
93,152
106,153
104,139
95,146
108,147
101,142
108,149
98,149
102,151
108,149
97,152
101,156
96,143
105,162
102,151
98,147
105,156
108,149
97,150
100,151
96,153
106,153
104,145
103,152
101,154
106,153
108,155
101,150
102,149
106,155
109,148
106,151
105,156
102,151
90,149
103,146
109,150
108,149
106,147
102,151
102,151
103,154
103,156
92,153
107,150
106,149
110,151
107,154
112,149
106,145
108,155
99,148
87,156
97,148
111,152
98,151
102,153
109,154
96,151
99,150
107,158
97,154
101,144
113,150
104,145
100,153
107,150
104,147
111,148
109,148
97,150
98,151
104,153
100,149
100,151
97,150
104,147
102,151
104,141
107,154
108,149
109,146
102,153
101,148
107,152
97,146
104,155
110,147
111,150
93,144
96,157
107,152
99,146
101,160
103,152
109,154
102,155
102,147
96,145
102,149
97,154
97,148
108,149
103,160
103,154
108,147
106,155
99,150
98,153
98,149
105,148
99,154
104,149
106,151
102,153
104,157
102,147
105,152
103,146
101,150
104,143
107,150
107,148
96,151
101,154
105,154
108,155
105,150
96,157
102,145
100,149
100,153
98,149
98,153
103,156
96,145
105,146
97,150
99,148
102,151
102,155
103,156
100,153
96,151
97,150
98,155
101,144
102,157
96,145
110,151
106,149
100,147
111,152
93,152
99,152
106,151
97,152
98,153
99,150
104,143
105,144
107,148
101,150
103,152
95,146
98,141
94,151
96,157
102,145
98,151
100,155
101,156
105,150
103,146
110,149
104,155
107,152
106,149
108,153
93,142
103,152
108,151
103,144
102,157
96,151
100,145
103,150
99,146
102,149
102,147
98,143
105,150
103,150
103,158
108,147
98,153
104,151
98,153
101,140
113,150
103,150
102,151
111,148
103,150
108,145
109,146
99,152
106,153
100,145
102,151
95,146
106,145
100,147
98,153
98,151
101,156
110,151
92,143
99,156
106,149
102,141
100,147
109,150
101,154
111,150
97,152
105,148
99,154
102,153
105,152
97,152
103,156
102,143
104,151
104,151
103,150
108,151
111,152
98,153
102,149
99,150
104,151
102,145
99,148
105,154
104,149
107,154
106,149
100,149
108,151
100,145
102,151
106,153
100,151
93,154
106,151
106,149
103,150
111,154
108,147
100,153
104,143
103,152
112,149
104,145
107,148
113,150
103,150
103,138
105,150
101,148
109,150
100,149
107,150
99,146
106,145
95,154
100,151
111,150
106,149
105,154
106,155
99,148
106,151
103,144
95,152
101,152
107,146
110,153
100,153
94,145
98,145
97,148
97,144
104,147
97,144
105,148
98,151
104,147
104,139
106,147
106,151
101,152
102,147
106,149
107,146
110,157
99,152
97,146
108,151
102,147
99,148
105,148
107,156
99,150
105,152
103,148
103,152
105,154
105,148
97,152
98,159
95,150
102,143
105,144
97,154
109,152
101,146
105,146
108,153
99,144
102,157
103,148
97,148
106,157
102,153
104,151
105,148
106,147
103,150
100,151
98,157
108,149
103,144
104,155
102,147
104,155
108,145
99,152
102,149
91,144
109,150
109,150
106,151
110,147
101,146
106,155
109,148
104,151
101,152
96,153
107,150
101,154
101,150
101,148
95,150
110,153
106,153
110,147
109,148
101,148
109,154
100,151
104,145
96,145
100,147
109,148
102,155
109,154
101,150
105,150
96,147
113,150
109,148
103,150
111,154
97,146
103,152
106,151
103,142
112,157
103,150
97,140
110,147
94,153
95,158
106,153
107,148
101,152
102,147
101,154
101,150
94,159
96,145
99,154
103,156
104,149
100,155
100,147
101,146
102,147
107,154
101,150
107,148
107,148
109,150
99,142
101,150
97,144
96,153
108,151
100,149
106,151
102,147
110,149
105,146
109,150
106,151
99,142
108,149
100,145
104,149
112,147
94,153
107,150
101,148
109,148
104,149
102,151
97,156
107,146
107,156
104,149
114,147
103,154
110,151
99,154
99,142
96,145
107,146
103,154
105,148
98,151
108,145
92,155
100,151
104,141
104,153
99,144
97,152
104,153
101,146
107,152
92,153
100,149
100,147
98,155
107,146
98,147
102,149
101,150
103,148
106,153
103,150
104,151
110,145
102,149
93,138
114,151
101,148
93,148
106,155
105,154
103,152
106,151
103,154
101,156
98,151
98,151
101,156
104,155
102,145
101,148
95,146
105,152
104,147
111,152
103,148
97,158
98,143
107,146
100,151
101,144
95,150
106,157
96,149
100,149
107,148
109,146
103,156
102,153
97,148
100,147
100,147
102,155
104,149
97,146
106,153
108,155
103,152
106,155
104,153
101,148
97,150
97,148
110,147
101,146
108,149
98,147
99,146
104,153
104,151
97,148
104,159
105,148
107,146
103,152
101,156
100,151
95,150
103,152
102,151
105,150
97,152
102,151
102,153
112,151
100,151
104,149
97,150
106,149
105,156
101,150
103,154
103,154
104,155
106,153
106,147
110,149
103,156
117,150
111,150
99,148
109,148
104,147
100,153
107,156
96,153
97,148
103,156
96,145
107,148
102,147
108,157
105,154
103,150
101,148
106,155
103,152
98,147
104,149
101,150
101,152
98,151
106,147
96,143
101,156
99,144
109,146
99,148
104,153
106,145
100,155
104,155
104,151
101,146
108,149
106,155
108,155
109,146
104,143
106,155
96,143
103,152
99,150
94,147
105,154
103,144
105,146
105,144
112,151
107,154
100,153
98,155
108,153
106,145
102,151
106,147
94,155
96,147
102,153
99,146
111,148
100,149
107,148
101,150
104,153
91,138
98,153
106,153
103,154
101,150
106,151
106,151
98,151
101,150
115,148
109,148
106,151
103,156
100,147
104,153
92,143
97,140
106,151
106,149
110,151
103,146
102,155
102,145
110,151
97,154
107,152
95,152
105,144
101,146
106,149
106,145
111,154
103,152
103,150
103,154
106,147
105,146
101,148
103,152
100,151
103,150
107,152
107,148
104,149
108,155
104,155
106,157
105,152
103,148
96,153
106,147
103,146
99,152
101,148
106,143
102,147
109,150
111,148
94,145
109,152
95,152
90,151
93,148
105,152
99,148
109,150
106,153
100,147
98,157
101,146
104,153
104,147
98,155
104,149
111,148
106,155
107,152
109,152
107,150
108,157
100,147
100,147
108,153
100,147
109,152
113,152
101,152
106,147
102,151
98,157
109,156
112,153
109,148
100,149
96,149
103,152
96,149
102,149
108,151
106,149
98,159
96,161
108,157
103,154
93,154
99,148
107,152
101,150
106,151
106,155
105,150
100,151
97,150
104,147
114,149
99,150
104,153
104,147
103,148
103,148
105,148
98,149
100,151
104,147
97,146
109,146
107,150
103,142
107,148
101,152
104,149
102,151
102,149
92,151
101,158
103,144
106,157
102,149
103,152
94,143
111,152
102,143
105,154
98,161
101,148
107,146
103,144
102,151
106,153
106,143
103,152
94,153
94,149
110,149
102,151
99,148
98,153
103,152
107,146
106,155
101,148
105,150
97,152
104,153
99,156
105,154
105,158
101,148
108,153
90,141
106,147
100,151
103,144
98,155
93,156
110,147
104,153
98,145
98,153
103,148
103,152
104,157
108,145
103,154
103,152
95,148
105,146
106,155
97,138
111,148
111,156
110,151
106,153
99,150
96,147
105,150
108,151
97,148
103,146
107,152
94,147
102,139
100,153
102,153
111,152
96,147
102,143
99,146
105,150
104,147
105,150
111,148
100,151
99,148
96,149
96,153
96,149
101,142
104,151
108,155
109,154
95,144
108,149
109,158
99,154
110,153
103,150
98,147
109,152
95,156
110,149
100,153
105,154
106,153
101,150
100,155
107,150
103,150
104,153
104,153
103,156
102,147
96,151
88,145
112,147
90,149
106,149
99,150
110,147
102,151
97,156
109,152
104,153
105,152
106,157
101,148
98,147
106,155
106,151
105,152
108,151
99,148
108,153
110,155
104,147
106,147
100,145
94,147
104,147
94,151
98,149
95,152
94,153
110,149
102,151
112,147
99,148
101,148
104,153
104,149
100,143
98,157
104,151
101,152
102,153
104,151
91,150
101,150
99,158
98,147
94,147
108,155
110,155
106,157
104,143
104,153
102,145
103,152
98,149
105,144
107,154
113,152
105,152
101,150
105,148
114,149
99,146
104,153
101,146
109,148
111,150
94,151
109,152
105,150
103,150
109,148
95,148
103,148
95,150
103,144
101,152
102,153
103,150
95,154
107,150
100,149
101,144
104,145
96,143
112,151
106,153
103,148
106,153
97,144
103,150
99,146
109,158
101,162
103,150
102,151
94,155
105,152
112,151
110,147
88,155
102,147
90,149
104,147
93,154
104,153
100,153
105,148
110,147
102,151
95,146
106,151
105,152
97,150
100,147
100,145
104,157
103,144
100,145
102,153
104,151
97,154
109,150
101,148
106,149
104,155
107,148
109,152
109,152
104,149
90,149
102,151
100,149
103,144
99,152
108,149
101,150
109,146
98,149
100,145
106,149
101,148
94,151
110,149
102,163
101,154
106,153
113,152
101,144
102,149
96,151
100,147
98,151
103,150
108,149
106,147
105,156
104,153
103,158
107,152
99,148
106,151
106,147
102,145
104,155
103,154
94,149
106,155
98,141
101,144
97,154
106,149
98,153
108,151
106,151
106,153
105,144
108,149
102,151
97,144
103,156
99,150
95,148
109,152
106,143
111,150
106,147
102,149
99,150
101,150
100,145
105,150
102,151
96,143
98,149
101,144
105,148
103,146
103,160
104,155
97,148
92,157
98,143
98,143
102,141
104,149
108,153
101,148
106,151
98,149
101,150
108,151
105,140
102,151
105,146
101,152
96,151
105,154
106,153
106,149
98,149
91,156
102,147
98,155
99,156
100,151
106,147
102,147
117,148
107,144
97,152
102,149
101,146
96,153
106,149
101,140
107,150
110,153
113,148
108,147
108,151
103,148
102,149
106,153
106,155
104,149
100,147
107,148
107,148
108,153
104,145
98,149
97,154
100,147
111,152
104,153
103,148
108,147
99,146
103,152
99,148
105,150
102,155
103,156
109,150
99,146
107,144
100,147
101,150
95,148
105,144
108,147
96,149
110,153
99,152
97,146
105,142
105,146
109,146
96,143
100,149
111,148
101,144
109,150
113,144
99,156
111,150
105,152
107,150
103,144
107,150
98,145
101,144
99,152
105,148
109,152
99,152
101,150
103,152
102,153
108,147
111,148
99,148
110,155
106,147
86,151
97,154
108,141
95,154
100,151
99,156
96,143
102,149
107,154
96,153
100,149
94,149
101,152
105,146
99,158
105,144
102,149
106,153
103,144
107,150
104,151
96,153
104,151
103,148
107,154
99,152
108,149
97,148
97,144
109,146
97,148
108,143
102,147
93,146
110,147
98,151
104,149
107,154
96,155
103,146
102,145
104,147
103,152
103,144
97,146
107,150
103,150
101,148
96,143
103,150
102,143
102,149
109,152
103,156
105,144
99,142
106,153
109,148
96,143
99,142
98,151
100,153
108,149
107,152
100,143
105,146
107,144
95,146
99,150
102,149
97,148
105,140
105,152
95,154
97,150
102,149
93,154
96,145
92,151
97,144
108,149
104,145
101,154
104,155
98,155
102,147
112,153
93,156
99,152
102,149
104,153
103,148
103,150
89,148
97,156
96,143
106,143
99,144
105,152
104,149
112,151
105,150
99,152
92,159
102,153
98,151
112,149
103,150
105,160
100,149
104,147
96,145
106,151
102,149
97,156
111,148
104,157
98,151
111,148
103,148
107,158
97,152
110,151
103,144
106,157
107,152
99,150
112,151
111,148
102,147
93,156
101,146
108,149
101,150
98,145
106,151
98,155
100,151
100,151
102,151
95,154
102,155
107,144
103,150
95,152
95,148
96,157
84,151
105,148
103,150
107,142
109,146
106,151
97,156
101,150
112,153
107,146
108,155
103,146
104,149
103,148
100,155
104,143
101,150
107,150
103,150
103,152
103,154
107,156
101,146
97,154
107,148
91,142
109,144
109,152
104,151
98,147
103,146
101,140
101,148
108,149
101,146
106,155
108,153
101,146
106,153
106,151
101,152
95,152
104,147
95,144
89,154
104,149
101,150
103,152
92,155
96,163
103,150
105,150
104,149
107,148
109,152
106,141
104,145
102,151
104,147
108,149
106,149
108,161
110,153
108,149
101,154
108,145
106,153
98,155
99,148
100,147
101,152
96,153
103,150
93,146
101,146
111,146
112,147
103,158
99,150
98,155
95,156
103,150
111,148
108,149
97,154
104,153
98,147
103,152
100,147
106,151
107,154
106,145
99,152
97,148
104,153
97,146
104,149
106,159
102,153
101,152
104,149
109,150
105,156
96,147
99,148
105,150
106,155
109,146
107,146
110,153
99,148
105,150
109,148
106,149
105,156
104,147
99,156
102,153
91,160
103,154
101,154
94,147
104,165
98,159
102,149
102,153
104,145
101,148
97,148
90,149
103,158
100,147
102,141
107,148
103,150
103,158
102,153
102,151
106,143
100,155
108,147
105,150
99,146
106,153
96,151
102,149
107,152
100,147
101,154
105,150
100,151
100,151
107,152
99,156
97,158
103,144
104,153
103,154
104,151
106,143
101,150
98,155
98,153
99,152
103,150
108,151
99,154
107,156
104,153
89,156
112,147
104,151
100,155
108,147
103,152
91,146
103,154
103,152
106,149
108,153
98,149
93,158
99,148
103,152
102,149
98,153
103,148
105,144
103,148
103,144
100,143
99,144
110,151
94,147
106,147
100,151
102,151
95,144
110,151
104,149
106,147
104,147
105,148
100,155
95,152
104,153
95,156
101,150
101,150
95,154
114,153
104,145
104,155
106,149
111,144
109,150
95,150
96,149
96,155
100,149
98,145
107,154
103,150
103,154
110,147
97,150
100,151
104,151
94,147
92,141
97,150
98,149
99,150
95,150
119,148
100,157
109,148
96,149
100,155
102,153
103,144
109,150
103,146
111,156
104,151
102,153
106,149
97,158
111,148
100,145
104,153
97,154
96,155
105,144
99,148
103,144
105,152
104,149
101,156
108,151
107,150
102,147
102,149
97,150
102,145
95,148
110,153
104,145
97,150
105,150
104,151
96,161
95,156
95,154
100,147
108,145
112,147
103,146
100,149
102,147
105,154
100,151
106,145
101,156
107,144
93,150
100,141
111,152
94,145
97,152
107,150
113,152
109,152
102,155
89,148
102,147
105,152
99,146
102,153
110,157
102,153
105,148
101,158
98,151
110,151
105,158
103,150
106,149
105,158
103,146
105,148
110,147
100,153
95,152
112,149
95,146
102,147
107,152
102,149
105,146
99,152
109,144
103,152
102,153
104,149
111,144
103,158
105,148
105,152
100,157
98,151
95,156
109,152
100,147
96,147
102,151
100,145
107,150
99,148
99,146
102,145
106,151
99,154
104,153
111,146
106,151
109,144
98,155
103,148
99,152
107,146
102,155
103,152
100,151
98,153
99,150
102,147
105,152
92,147
106,153
107,146
102,153
104,153
105,146
109,144
96,157
96,157
105,152
110,147
104,157
103,150
104,149
106,143
104,151
105,150
105,148
97,146
108,145
106,149
107,154
104,157
105,144
100,149
100,153
109,144
106,147
103,152
101,146
112,151
103,148
104,149
107,160
108,151
104,147
104,155
106,147
104,159
104,149
101,148
102,153
103,146
110,155
106,151
104,157
106,149
99,150
94,149
97,144
105,152
111,148
107,150
105,144
97,150
95,152
97,152
105,152
91,152
112,145
106,151
100,149
107,152
95,150
94,149
105,154
97,154
108,153
97,150
102,155
96,151
105,146
104,153
106,151
97,154
94,149
105,146
88,153
94,147
105,148
102,149
101,144
102,141
102,153
106,145
95,148
